Locus Tag,Locus_Tag,Gene Name,Product Description,GO Term
PFLU0639,PFLU_0639,PFLU_0639,hypothetical protein,aspartic-type endopeptidase activity
PFLU0639,PFLU_0639,PFLU_0639,hypothetical protein,membrane
PFLU0640,PFLU_0640,PFLU_0640,putative two-component system response regulator,"regulation of transcription, DNA-templated"
PFLU0640,PFLU_0640,PFLU_0640,putative two-component system response regulator,phosphorelay signal transduction system
PFLU0640,PFLU_0640,PFLU_0640,putative two-component system response regulator,DNA binding
PFLU0642,PFLU_0642,PFLU_0642,putative lipoprotein,protein binding
PFLU0647,PFLU_0647,PFLU_0647,putative type II secretion system protein,protein secretion
PFLU0650,PFLU_0650,PFLU_0650,putative response regulator,phosphorelay signal transduction system
PFLU0653,PFLU_0653,PFLU_0653,hypothetical protein,fatty acid synthase activity
PFLU0653,PFLU_0653,PFLU_0653,hypothetical protein,fatty acid synthase complex
PFLU0653,PFLU_0653,PFLU_0653,hypothetical protein,fatty acid biosynthetic process
PFLU0653,PFLU_0653,PFLU_0653,hypothetical protein,oxidation-reduction process
PFLU0654,PFLU_0654,fabG,3-ketoacyl-ACP reductase,oxidoreductase activity
PFLU0655,PFLU_0655,PFLU_0655,acetyl-CoA acetyltransferase,"transferase activity, transferring acyl groups other than amino-acyl groups"
PFLU0655,PFLU_0655,PFLU_0655,acetyl-CoA acetyltransferase,catalytic activity
PFLU0656,PFLU_0656,PFLU_0656,hypothetical protein,protein serine/threonine kinase activity
PFLU0656,PFLU_0656,PFLU_0656,hypothetical protein,ATP binding
PFLU0657,PFLU_0657,cueR,HTH-type copper-efflux MerR family transcriptional regulator,DNA binding
PFLU0657,PFLU_0657,cueR,HTH-type copper-efflux MerR family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0657,PFLU_0657,cueR,HTH-type copper-efflux MerR family transcriptional regulator,DNA-binding transcription factor activity
PFLU0657,PFLU_0657,cueR,HTH-type copper-efflux MerR family transcriptional regulator,copper ion binding
PFLU0657,PFLU_0657,cueR,HTH-type copper-efflux MerR family transcriptional regulator,"positive regulation of transcription, DNA-templated"
PFLU0658,PFLU_0658,copA,copper-transporting P-type ATPase,metal ion transport
PFLU0658,PFLU_0658,copA,copper-transporting P-type ATPase,metal ion binding
PFLU0658,PFLU_0658,copA,copper-transporting P-type ATPase,cation transport
PFLU0658,PFLU_0658,copA,copper-transporting P-type ATPase,integral component of membrane
PFLU0658,PFLU_0658,copA,copper-transporting P-type ATPase,ATPase-coupled cation transmembrane transporter activity
PFLU0658,PFLU_0658,copA,copper-transporting P-type ATPase,nucleotide binding
PFLU0660,PFLU_0660,PFLU_0660,putative substrate-binding periplasmic protein,metal ion transport
PFLU0660,PFLU_0660,PFLU_0660,putative substrate-binding periplasmic protein,metal ion binding
PFLU0661,PFLU_0661,PFLU_0661,putative transporter-like membrane protein,integral component of membrane
PFLU0661,PFLU_0661,PFLU_0661,putative transporter-like membrane protein,xenobiotic transmembrane transporter activity
PFLU0661,PFLU_0661,PFLU_0661,putative transporter-like membrane protein,xenobiotic detoxification by transmembrane export across the plasma membrane
PFLU0661,PFLU_0661,PFLU_0661,putative transporter-like membrane protein,integral component of plasma membrane
PFLU0661,PFLU_0661,PFLU_0661,putative transporter-like membrane protein,transmembrane transport
PFLU0663,PFLU_0663,PFLU_0663,putative dehydrogenase,zinc ion binding
PFLU0663,PFLU_0663,PFLU_0663,putative dehydrogenase,oxidoreductase activity
PFLU0663,PFLU_0663,PFLU_0663,putative dehydrogenase,oxidation-reduction process
PFLU0665,PFLU_0665,PFLU_0665,LysR family transcriptional regulator,DNA-binding transcription factor activity
PFLU0665,PFLU_0665,PFLU_0665,LysR family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0666,PFLU_0666,PFLU_0666,putative ArsR family regulatory protein,DNA-binding transcription factor activity
PFLU0666,PFLU_0666,PFLU_0666,putative ArsR family regulatory protein,"regulation of transcription, DNA-templated"
PFLU0667,PFLU_0667,PFLU_0667,adenosine deaminase,deaminase activity
PFLU0667,PFLU_0667,PFLU_0667,adenosine deaminase,adenine deaminase activity
PFLU0667,PFLU_0667,PFLU_0667,adenosine deaminase,adenine catabolic process
PFLU0668,PFLU_0668,PFLU_0668,putative calcium/proton antiporter membrane protein,integral component of membrane
PFLU0668,PFLU_0668,PFLU_0668,putative calcium/proton antiporter membrane protein,transmembrane transport
PFLU0669,PFLU_0669,PFLU_0669,hydroxydechloroatrazine ethylaminohydrolase,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
PFLU0669,PFLU_0669,PFLU_0669,hydroxydechloroatrazine ethylaminohydrolase,hydrolase activity
PFLU0672,PFLU_0672,PFLU_0672,TetR family transcriptional regulator,DNA binding
PFLU0672,PFLU_0672,PFLU_0672,TetR family transcriptional regulator,"negative regulation of transcription, DNA-templated"
PFLU0673,PFLU_0673,PFLU_0673,putative purine transporter-like permease,membrane
PFLU0673,PFLU_0673,PFLU_0673,putative purine transporter-like permease,transmembrane transporter activity
PFLU0673,PFLU_0673,PFLU_0673,putative purine transporter-like permease,transmembrane transport
PFLU0673,PFLU_0673,PFLU_0673,putative purine transporter-like permease,nucleobase transport
PFLU0673,PFLU_0673,PFLU_0673,putative purine transporter-like permease,integral component of membrane
PFLU0674,PFLU_0674,PFLU_0674,LysR family transcriptional regulator,DNA-binding transcription factor activity
PFLU0674,PFLU_0674,PFLU_0674,LysR family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0675,PFLU_0675,PFLU_0675,beta alanine--pyruvate transaminase,transaminase activity
PFLU0675,PFLU_0675,PFLU_0675,beta alanine--pyruvate transaminase,pyridoxal phosphate binding
PFLU0675,PFLU_0675,PFLU_0675,beta alanine--pyruvate transaminase,catalytic activity
PFLU0676,PFLU_0676,mmsA,methylmalonate-semialdehyde dehydrogenase,methylmalonate-semialdehyde dehydrogenase (acylating) activity
PFLU0676,PFLU_0676,mmsA,methylmalonate-semialdehyde dehydrogenase,oxidation-reduction process
PFLU0676,PFLU_0676,mmsA,methylmalonate-semialdehyde dehydrogenase,oxidoreductase activity
PFLU0676,PFLU_0676,mmsA,methylmalonate-semialdehyde dehydrogenase,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
PFLU0684,PFLU_0684,PFLU_0684,putative ribosomal-protein-alanine acetyltransferase,N-acetyltransferase activity
PFLU0684,PFLU_0684,PFLU_0684,putative ribosomal-protein-alanine acetyltransferase,N-terminal protein amino acid acetylation
PFLU0684,PFLU_0684,PFLU_0684,putative ribosomal-protein-alanine acetyltransferase,acetyltransferase activity
PFLU0686,PFLU_0686,cynT1,carbonic anhydrase,carbonate dehydratase activity
PFLU0686,PFLU_0686,cynT1,carbonic anhydrase,zinc ion binding
PFLU0686,PFLU_0686,cynT1,carbonic anhydrase,carbon utilization
PFLU0689,PFLU_0689,PFLU_0689,putative phosphesterase,acid phosphatase activity
PFLU0689,PFLU_0689,PFLU_0689,putative phosphesterase,catalytic activity
PFLU0689,PFLU_0689,PFLU_0689,putative phosphesterase,"hydrolase activity, acting on ester bonds"
PFLU0692,PFLU_0692,PFLU_0692,putative major facilitator family membrane protein,integral component of plasma membrane
PFLU0692,PFLU_0692,PFLU_0692,putative major facilitator family membrane protein,transmembrane transport
PFLU0692,PFLU_0692,PFLU_0692,putative major facilitator family membrane protein,integral component of membrane
PFLU0692,PFLU_0692,PFLU_0692,putative major facilitator family membrane protein,transmembrane transporter activity
PFLU0693,PFLU_0693,PFLU_0693,hypothetical protein,DNA binding
PFLU0695,PFLU_0695,PFLU_0695,putative gluconate transporter-like membrane protein,gluconate transmembrane transporter activity
PFLU0695,PFLU_0695,PFLU_0695,putative gluconate transporter-like membrane protein,membrane
PFLU0695,PFLU_0695,PFLU_0695,putative gluconate transporter-like membrane protein,gluconate transmembrane transport
PFLU0696,PFLU_0696,czcD,cobalt-zinc-cadmium resistance protein,cation transport
PFLU0696,PFLU_0696,czcD,cobalt-zinc-cadmium resistance protein,cation transmembrane transporter activity
PFLU0696,PFLU_0696,czcD,cobalt-zinc-cadmium resistance protein,integral component of membrane
PFLU0696,PFLU_0696,czcD,cobalt-zinc-cadmium resistance protein,transmembrane transport
PFLU0697,PFLU_0697,PFLU_0697,putative metal transporter-like exported protein,efflux transmembrane transporter activity
PFLU0697,PFLU_0697,PFLU_0697,putative metal transporter-like exported protein,transmembrane transport
PFLU0698,PFLU_0698,PFLU_0698,putative metal transporter-like exported protein,membrane
PFLU0698,PFLU_0698,PFLU_0698,putative metal transporter-like exported protein,transmembrane transporter activity
PFLU0698,PFLU_0698,PFLU_0698,putative metal transporter-like exported protein,transmembrane transport
PFLU0699,PFLU_0699,czcA,cobalt-zinc-cadmium resistance membrane protein,membrane
PFLU0699,PFLU_0699,czcA,cobalt-zinc-cadmium resistance membrane protein,transmembrane transporter activity
PFLU0699,PFLU_0699,czcA,cobalt-zinc-cadmium resistance membrane protein,transmembrane transport
PFLU0699,PFLU_0699,czcA,cobalt-zinc-cadmium resistance membrane protein,cation transport
PFLU0699,PFLU_0699,czcA,cobalt-zinc-cadmium resistance membrane protein,cation transmembrane transporter activity
PFLU0699,PFLU_0699,czcA,cobalt-zinc-cadmium resistance membrane protein,integral component of membrane
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,phosphorylation
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,"transferase activity, transferring phosphorus-containing groups"
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,signal transduction
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,integral component of membrane
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,phosphorelay sensor kinase activity
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,phosphorelay signal transduction system
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,protein histidine kinase activity
PFLU0700,PFLU_0700,PFLU_0700,putative two-component system sensor kinase,membrane
PFLU0701,PFLU_0701,czcR,two-component system response regulator,phosphorelay signal transduction system
PFLU0701,PFLU_0701,czcR,two-component system response regulator,DNA binding
PFLU0701,PFLU_0701,czcR,two-component system response regulator,"regulation of transcription, DNA-templated"
PFLU0702,PFLU_0702,PFLU_0702,hypothetical protein,integral component of membrane
PFLU0704,PFLU_0704,PFLU_0704,putative chemotaxis protein,signal transduction
PFLU0704,PFLU_0704,PFLU_0704,putative chemotaxis protein,membrane
PFLU0704,PFLU_0704,PFLU_0704,putative chemotaxis protein,protein binding
PFLU0705,PFLU_0705,PFLU_0705,AraC family transcriptional regulator,DNA binding
PFLU0705,PFLU_0705,PFLU_0705,AraC family transcriptional regulator,DNA-binding transcription factor activity
PFLU0705,PFLU_0705,PFLU_0705,AraC family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0705,PFLU_0705,PFLU_0705,AraC family transcriptional regulator,sequence-specific DNA binding
PFLU0706,PFLU_0706,ddl,D-alanyl-alanine synthetase A,ATP binding
PFLU0706,PFLU_0706,ddl,D-alanyl-alanine synthetase A,metal ion binding
PFLU0706,PFLU_0706,ddl,D-alanyl-alanine synthetase A,cytoplasm
PFLU0706,PFLU_0706,ddl,D-alanyl-alanine synthetase A,D-alanine-D-alanine ligase activity
PFLU0707,PFLU_0707,PFLU_0707,putative lipoprotein,glutathione catabolic process
PFLU0707,PFLU_0707,PFLU_0707,putative lipoprotein,glutathione hydrolase activity
PFLU0709,PFLU_0709,rspL,sigma factor,DNA binding
PFLU0709,PFLU_0709,rspL,sigma factor,DNA-binding transcription factor activity
PFLU0709,PFLU_0709,rspL,sigma factor,"DNA-templated transcription, initiation"
PFLU0709,PFLU_0709,rspL,sigma factor,"regulation of transcription, DNA-templated"
PFLU0709,PFLU_0709,rspL,sigma factor,sigma factor activity
PFLU0715,PFLU_0715,rscR,type III secretion system protein,protein secretion
PFLU0715,PFLU_0715,rscR,type III secretion system protein,membrane
PFLU0715,PFLU_0715,rscR,type III secretion system protein,protein transport
PFLU0715,PFLU_0715,rscR,type III secretion system protein,integral component of membrane
PFLU0716,PFLU_0716,rscS,putative type III secretion membrane protein,protein secretion
PFLU0716,PFLU_0716,rscS,putative type III secretion membrane protein,membrane
PFLU0716,PFLU_0716,rscS,putative type III secretion membrane protein,integral component of membrane
PFLU0717,PFLU_0717,rscT,putative type III secretion protein,integral component of membrane
PFLU0717,PFLU_0717,rscT,putative type III secretion protein,protein targeting
PFLU0717,PFLU_0717,rscT,putative type III secretion protein,membrane
PFLU0718,PFLU_0718,rscU,putative type III secretion protein,protein secretion
PFLU0718,PFLU_0718,rscU,putative type III secretion protein,integral component of membrane
PFLU0718,PFLU_0718,rscU,putative type III secretion protein,membrane
PFLU0721,PFLU_0721,rscC,putative type III secretion protein,protein secretion
PFLU0726,PFLU_0726,rscJ,putative type III secretion protein,protein secretion
PFLU0728,PFLU_0728,rspR,"putative type III secretion system, regulatory protein",sequence-specific DNA binding
PFLU0728,PFLU_0728,rspR,"putative type III secretion system, regulatory protein",DNA binding
PFLU0728,PFLU_0728,rspR,"putative type III secretion system, regulatory protein",ATP binding
PFLU0728,PFLU_0728,rspR,"putative type III secretion system, regulatory protein","regulation of transcription, DNA-templated"
PFLU0728,PFLU_0728,rspR,"putative type III secretion system, regulatory protein",transcription factor binding
PFLU0729,PFLU_0729,PFLU_0729,GTP-dependent nucleic acid-binding protein EngD,GTP binding
PFLU0730,PFLU_0730,pth,peptidyl-tRNA hydrolase,aminoacyl-tRNA hydrolase activity
PFLU0731,PFLU_0731,PFLU_0731,50S ribosomal protein L25/general stress protein Ctc,translation
PFLU0731,PFLU_0731,PFLU_0731,50S ribosomal protein L25/general stress protein Ctc,structural constituent of ribosome
PFLU0731,PFLU_0731,PFLU_0731,50S ribosomal protein L25/general stress protein Ctc,ribosome
PFLU0731,PFLU_0731,PFLU_0731,50S ribosomal protein L25/general stress protein Ctc,5S rRNA binding
PFLU0732,PFLU_0732,prs,ribose-phosphate pyrophosphokinase,magnesium ion binding
PFLU0732,PFLU_0732,prs,ribose-phosphate pyrophosphokinase,ribose phosphate diphosphokinase activity
PFLU0732,PFLU_0732,prs,ribose-phosphate pyrophosphokinase,nucleotide biosynthetic process
PFLU0732,PFLU_0732,prs,ribose-phosphate pyrophosphokinase,ribonucleoside monophosphate biosynthetic process
PFLU0732,PFLU_0732,prs,ribose-phosphate pyrophosphokinase,cellular biosynthetic process
PFLU0732,PFLU_0732,prs,ribose-phosphate pyrophosphokinase,nucleoside metabolic process
PFLU0733,PFLU_0733,ipk,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,ATP binding
PFLU0733,PFLU_0733,ipk,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,terpenoid biosynthetic process
PFLU0733,PFLU_0733,ipk,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
PFLU0734,PFLU_0734,lolB,outer membrane lipoprotein LolB,cell outer membrane
PFLU0734,PFLU_0734,lolB,outer membrane lipoprotein LolB,protein transport
PFLU0735,PFLU_0735,PFLU_0735,hypothetical protein,protein binding
PFLU0737,PFLU_0737,hemA,glutamyl-tRNA reductase,glutamyl-tRNA reductase activity
PFLU0737,PFLU_0737,hemA,glutamyl-tRNA reductase,tetrapyrrole biosynthetic process
PFLU0737,PFLU_0737,hemA,glutamyl-tRNA reductase,NADP binding
PFLU0737,PFLU_0737,hemA,glutamyl-tRNA reductase,oxidation-reduction process
PFLU0738,PFLU_0738,prfA,peptide chain release factor 1,translational termination
PFLU0738,PFLU_0738,prfA,peptide chain release factor 1,"translation release factor activity, codon specific"
PFLU0738,PFLU_0738,prfA,peptide chain release factor 1,translation release factor activity
PFLU0739,PFLU_0739,hemK,protein methyltransferase,methyltransferase activity
PFLU0739,PFLU_0739,hemK,protein methyltransferase,nucleic acid binding
PFLU0739,PFLU_0739,hemK,protein methyltransferase,methylation
PFLU0739,PFLU_0739,hemK,protein methyltransferase,protein methylation
PFLU0739,PFLU_0739,hemK,protein methyltransferase,protein methyltransferase activity
PFLU0740,PFLU_0740,moeB,molybdopterin biosynthesis protein MoeB,ubiquitin-like modifier activating enzyme activity
PFLU0741,PFLU_0741,PFLU_0741,glutamate racemase,glutamate racemase activity
PFLU0741,PFLU_0741,PFLU_0741,glutamate racemase,peptidoglycan biosynthetic process
PFLU0741,PFLU_0741,PFLU_0741,glutamate racemase,"racemase and epimerase activity, acting on amino acids and derivatives"
PFLU0741,PFLU_0741,PFLU_0741,glutamate racemase,nitrogen compound metabolic process
PFLU0741,PFLU_0741,PFLU_0741,glutamate racemase,"racemase activity, acting on amino acids and derivatives"
PFLU0745,PFLU_0745,PFLU_0745,putative cyclopropane-fatty-acyl-phospholipid synthase,lipid biosynthetic process
PFLU0747,PFLU_0747,PFLU_0747,putative oxidoreductase,oxidoreductase activity
PFLU0747,PFLU_0747,PFLU_0747,putative oxidoreductase,oxidation-reduction process
PFLU0748,PFLU_0748,PFLU_0748,putative oxidoreductase,oxidoreductase activity
PFLU0751,PFLU_0751,PFLU_0751,putative MerR family regulatory protein,DNA binding
PFLU0751,PFLU_0751,PFLU_0751,putative MerR family regulatory protein,"regulation of transcription, DNA-templated"
PFLU0754,PFLU_0754,PFLU_0754,hypothetical protein,nucleotide binding
PFLU0754,PFLU_0754,PFLU_0754,hypothetical protein,oxidoreductase activity
PFLU0754,PFLU_0754,PFLU_0754,hypothetical protein,oxidation-reduction process
PFLU0755,PFLU_0755,PFLU_0755,hypothetical protein,catalytic activity
PFLU0755,PFLU_0755,PFLU_0755,hypothetical protein,obsolete coenzyme binding
PFLU0756,PFLU_0756,hemH,ferrochelatase,ferrochelatase activity
PFLU0756,PFLU_0756,hemH,ferrochelatase,heme biosynthetic process
PFLU0757,PFLU_0757,PFLU_0757,putative TonB-dependent exported protein,cell outer membrane
PFLU0757,PFLU_0757,PFLU_0757,putative TonB-dependent exported protein,siderophore uptake transmembrane transporter activity
PFLU0757,PFLU_0757,PFLU_0757,putative TonB-dependent exported protein,siderophore transport
PFLU0757,PFLU_0757,PFLU_0757,putative TonB-dependent exported protein,signaling receptor activity
PFLU0758,PFLU_0758,PFLU_0758,hypothetical protein,protein binding
PFLU0758,PFLU_0758,PFLU_0758,hypothetical protein,serine-type endopeptidase activity
PFLU0758,PFLU_0758,PFLU_0758,hypothetical protein,proteolysis
PFLU0760,PFLU_0760,cysD,sulfate adenylyltransferase subunit 2,sulfate adenylyltransferase (ATP) activity
PFLU0760,PFLU_0760,cysD,sulfate adenylyltransferase subunit 2,sulfate reduction
PFLU0760,PFLU_0760,cysD,sulfate adenylyltransferase subunit 2,catalytic activity
PFLU0761,PFLU_0761,cysN,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein,sulfate assimilation
PFLU0761,PFLU_0761,cysN,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein,adenylylsulfate kinase activity
PFLU0761,PFLU_0761,cysN,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein,ATP binding
PFLU0761,PFLU_0761,cysN,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein,GTP binding
PFLU0761,PFLU_0761,cysN,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein,GTPase activity
PFLU0761,PFLU_0761,cysN,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein,sulfur compound metabolic process
PFLU0762,PFLU_0762,PFLU_0762,putative acyltransferase,"transferase activity, transferring acyl groups"
PFLU0763,PFLU_0763,pta,phosphate acetyltransferase,phosphate acetyltransferase activity
PFLU0763,PFLU_0763,pta,phosphate acetyltransferase,acetyltransferase activity
PFLU0763,PFLU_0763,pta,phosphate acetyltransferase,"transferase activity, transferring acyl groups"
PFLU0764,PFLU_0764,slyD,peptidyl-prolyl cis-trans isomerase,peptidyl-prolyl cis-trans isomerase activity
PFLU0765,PFLU_0765,rpsT,30S ribosomal protein S20,RNA binding
PFLU0765,PFLU_0765,rpsT,30S ribosomal protein S20,structural constituent of ribosome
PFLU0765,PFLU_0765,rpsT,30S ribosomal protein S20,ribosome
PFLU0765,PFLU_0765,rpsT,30S ribosomal protein S20,translation
PFLU0767,PFLU_0767,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,riboflavin kinase activity
PFLU0767,PFLU_0767,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,riboflavin biosynthetic process
PFLU0767,PFLU_0767,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,FMN adenylyltransferase activity
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,nucleotide binding
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,isoleucine-tRNA ligase activity
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,ATP binding
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,isoleucyl-tRNA aminoacylation
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,aminoacyl-tRNA ligase activity
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,tRNA aminoacylation for protein translation
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,aminoacyl-tRNA editing activity
PFLU0768,PFLU_0768,ileS,isoleucyl-tRNA synthetase,tRNA binding
PFLU0769,PFLU_0769,lspA,lipoprotein signal peptidase,aspartic-type endopeptidase activity
PFLU0769,PFLU_0769,lspA,lipoprotein signal peptidase,proteolysis
PFLU0769,PFLU_0769,lspA,lipoprotein signal peptidase,membrane
PFLU0770,PFLU_0770,yaaD,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,peptidyl-prolyl cis-trans isomerase activity
PFLU0771,PFLU_0771,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"
PFLU0771,PFLU_0771,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,metal ion binding
PFLU0771,PFLU_0771,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,dimethylallyl diphosphate biosynthetic process
PFLU0771,PFLU_0771,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
PFLU0772,PFLU_0772,PFLU_0772,putative type IV pilus-like protein,type II protein secretion system complex
PFLU0772,PFLU_0772,PFLU_0772,putative type IV pilus-like protein,protein secretion by the type II secretion system
PFLU0777,PFLU_0777,PFLU_0777,putative oxidoreductase,oxidoreductase activity
PFLU0777,PFLU_0777,PFLU_0777,putative oxidoreductase,oxidation-reduction process
PFLU0777,PFLU_0777,PFLU_0777,putative oxidoreductase,flavin adenine dinucleotide binding
PFLU0779,PFLU_0779,PFLU_0779,putative lipoprotein,protein binding
PFLU0780,PFLU_0780,rluD,ribosomal large subunit pseudouridine synthase D,pseudouridine synthesis
PFLU0780,PFLU_0780,rluD,ribosomal large subunit pseudouridine synthase D,RNA binding
PFLU0780,PFLU_0780,rluD,ribosomal large subunit pseudouridine synthase D,RNA modification
PFLU0780,PFLU_0780,rluD,ribosomal large subunit pseudouridine synthase D,pseudouridine synthase activity
PFLU0782,PFLU_0782,clpB1,chaperone,protein metabolic process
PFLU0782,PFLU_0782,clpB1,chaperone,ATP binding
PFLU0782,PFLU_0782,clpB1,chaperone,cytoplasm
PFLU0782,PFLU_0782,clpB1,chaperone,response to heat
PFLU0782,PFLU_0782,clpB1,chaperone,protein refolding
PFLU0783,PFLU_0783,ndh,NADH dehydrogenase II,oxidoreductase activity
PFLU0783,PFLU_0783,ndh,NADH dehydrogenase II,oxidation-reduction process
PFLU0786,PFLU_0786,PFLU_0786,hypothetical protein,transition metal ion transport
PFLU0786,PFLU_0786,PFLU_0786,hypothetical protein,integral component of membrane
PFLU0788,PFLU_0788,PFLU_0788,zinc-binding protein,zinc ion binding
PFLU0788,PFLU_0788,PFLU_0788,zinc-binding protein,"regulation of transcription, DNA-templated"
PFLU0789,PFLU_0789,coaE,dephospho-CoA kinase,dephospho-CoA kinase activity
PFLU0789,PFLU_0789,coaE,dephospho-CoA kinase,ATP binding
PFLU0789,PFLU_0789,coaE,dephospho-CoA kinase,coenzyme A biosynthetic process
PFLU0790,PFLU_0790,pilD,type IV prepilin-like proteins leader peptide processing enzyme,aspartic-type endopeptidase activity
PFLU0790,PFLU_0790,pilD,type IV prepilin-like proteins leader peptide processing enzyme,membrane
PFLU0791,PFLU_0791,pilC,type IV fimbrial assembly protein,protein secretion
PFLU0791,PFLU_0791,pilC,type IV fimbrial assembly protein,membrane
PFLU0793,PFLU_0793,pilA,fimbrial protein,cell adhesion
PFLU0793,PFLU_0793,pilA,fimbrial protein,pilus
PFLU0796,PFLU_0796,nadC,nicotinate-nucleotide pyrophosphorylase,"transferase activity, transferring pentosyl groups"
PFLU0796,PFLU_0796,nadC,nicotinate-nucleotide pyrophosphorylase,catalytic activity
PFLU0796,PFLU_0796,nadC,nicotinate-nucleotide pyrophosphorylase,nicotinate-nucleotide diphosphorylase (carboxylating) activity
PFLU0796,PFLU_0796,nadC,nicotinate-nucleotide pyrophosphorylase,NAD biosynthetic process
PFLU0798,PFLU_0798,ampD,N-acetyl-anhydromuranmyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase activity
PFLU0798,PFLU_0798,ampD,N-acetyl-anhydromuranmyl-L-alanine amidase,peptidoglycan catabolic process
PFLU0800,PFLU_0800,PFLU_0800,putative methyl-accepting chemotaxis protein,signal transduction
PFLU0800,PFLU_0800,PFLU_0800,putative methyl-accepting chemotaxis protein,membrane
PFLU0800,PFLU_0800,PFLU_0800,putative methyl-accepting chemotaxis protein,integral component of membrane
PFLU0802,PFLU_0802,PFLU_0802,putative deoxyribonuclease,"hydrolase activity, acting on ester bonds"
PFLU0802,PFLU_0802,PFLU_0802,putative deoxyribonuclease,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"
PFLU0803,PFLU_0803,fruR,DNA-binding transcriptional regulator FruR,DNA binding
PFLU0803,PFLU_0803,fruR,DNA-binding transcriptional regulator FruR,"regulation of transcription, DNA-templated"
PFLU0803,PFLU_0803,fruR,DNA-binding transcriptional regulator FruR,response to fructose
PFLU0804,PFLU_0804,PFLU_0804,putative PTS system multiphosphoryl transfer protein,phosphorylation
PFLU0804,PFLU_0804,PFLU_0804,putative PTS system multiphosphoryl transfer protein,"transferase activity, transferring phosphorus-containing groups"
PFLU0804,PFLU_0804,PFLU_0804,putative PTS system multiphosphoryl transfer protein,phosphoenolpyruvate-dependent sugar phosphotransferase system
PFLU0804,PFLU_0804,PFLU_0804,putative PTS system multiphosphoryl transfer protein,catalytic activity
PFLU0805,PFLU_0805,fruK,1-phosphofructokinase,1-phosphofructokinase activity
PFLU0805,PFLU_0805,fruK,1-phosphofructokinase,"phosphotransferase activity, alcohol group as acceptor"
PFLU0805,PFLU_0805,fruK,1-phosphofructokinase,carbohydrate metabolic process
PFLU0806,PFLU_0806,fruA,PTS system fructose-specific transporter subunit IIBC,carbohydrate:proton symporter activity
PFLU0806,PFLU_0806,fruA,PTS system fructose-specific transporter subunit IIBC,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
PFLU0806,PFLU_0806,fruA,PTS system fructose-specific transporter subunit IIBC,phosphoenolpyruvate-dependent sugar phosphotransferase system
PFLU0806,PFLU_0806,fruA,PTS system fructose-specific transporter subunit IIBC,integral component of membrane
PFLU0806,PFLU_0806,fruA,PTS system fructose-specific transporter subunit IIBC,protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity
PFLU0806,PFLU_0806,fruA,PTS system fructose-specific transporter subunit IIBC,membrane
